,도소매업,서비스업,외식업
0,1000887.0,1000891.0,1000887
1,1000893.0,1000896.0,1000888
2,1000894.0,1000903.0,1000890
3,1000895.0,1000904.0,1000891
4,1000897.0,1000913.0,1000894
5,1000902.0,1000916.0,1000900
6,1000908.0,1000919.0,1000906
7,1000909.0,1000920.0,1000911
8,1000910.0,1000921.0,1000915
9,1000917.0,1000922.0,1000916
10,1000919.0,1000923.0,1000917
11,1000923.0,1000933.0,1000918
12,1000926.0,1000935.0,1000919
13,1000927.0,,1000921
14,1000932.0,,1000922
15,1000933.0,,1000931
16,1000936.0,,1000934
17,,,1000936
18,,,1000937
