,도소매업,서비스업,외식업
0,1000968.0,1000967,1000968.0
1,1000975.0,1000968,1000972.0
2,1000976.0,1000970,1000974.0
3,1000977.0,1000971,1000975.0
4,1000980.0,1000972,1000976.0
5,1000983.0,1000975,1000977.0
6,1000984.0,1000976,1000979.0
7,1000987.0,1000978,1000984.0
8,1000989.0,1000979,1000985.0
9,1000990.0,1000982,1000986.0
10,1000997.0,1000984,1000987.0
11,1000998.0,1000990,1000989.0
12,1001000.0,1000992,1000993.0
13,1001002.0,1000993,1000994.0
14,1001003.0,1000997,1001001.0
15,1001005.0,1000998,1001002.0
16,1001008.0,1001000,1001007.0
17,,1001001,1001009.0
18,,1001003,
