,도소매업,서비스업,외식업
0,1000560.0,1000553.0,1000552
1,1000565.0,1000556.0,1000554
2,1000567.0,1000559.0,1000559
3,1000574.0,1000561.0,1000560
4,1000575.0,1000562.0,1000562
5,1000579.0,1000563.0,1000563
6,1000581.0,1000567.0,1000564
7,1000582.0,1000570.0,1000566
8,1000583.0,1000575.0,1000567
9,1000585.0,1000578.0,1000568
10,1000587.0,1000582.0,1000570
11,1000588.0,1000590.0,1000571
12,1000589.0,1000592.0,1000572
13,1000592.0,1000596.0,1000573
14,1000599.0,1000597.0,1000579
15,1000602.0,1000598.0,1000580
16,1000605.0,1000603.0,1000584
17,1000606.0,,1000585
18,1000607.0,,1000586
19,,,1000592
20,,,1000596
21,,,1000599
22,,,1000600
23,,,1000605
24,,,1000607
