,도소매업,서비스업,외식업
0,1000780.0,1000783,1000783.0
1,1000783.0,1000784,1000795.0
2,1000786.0,1000786,1000796.0
3,1000787.0,1000790,1000801.0
4,1000791.0,1000791,1000803.0
5,1000796.0,1000795,1000806.0
6,1000797.0,1000796,1000809.0
7,1000798.0,1000799,1000813.0
8,1000802.0,1000800,1000815.0
9,1000804.0,1000802,1000818.0
10,1000810.0,1000804,1000819.0
11,1000811.0,1000806,1000823.0
12,1000814.0,1000807,1000828.0
13,1000832.0,1000808,1000829.0
14,1000835.0,1000813,1000832.0
15,1000836.0,1000817,1000833.0
16,,1000820,1000834.0
17,,1000823,1000841.0
18,,1000825,
19,,1000827,
20,,1000831,
21,,1000834,
22,,1000835,
23,,1000838,
24,,1000839,
