,도소매업,서비스업,외식업
0,1000127,1000127.0,1000127
1,1000129,1000130.0,1000128
2,1000130,1000135.0,1000129
3,1000131,1000136.0,1000132
4,1000132,1000137.0,1000136
5,1000134,1000139.0,1000138
6,1000135,1000141.0,1000139
7,1000136,1000149.0,1000142
8,1000137,1000152.0,1000144
9,1000138,1000153.0,1000145
10,1000142,1000156.0,1000146
11,1000148,1000159.0,1000147
12,1000149,1000161.0,1000149
13,1000152,,1000150
14,1000153,,1000156
15,1000156,,1000158
16,1000158,,1000159
17,1000159,,1000160
18,1000161,,1000161
19,1000163,,1000164
20,1000164,,1000165
