,도소매업,서비스업,외식업
0,1000612.0,1000609.0,1000611
1,1000613.0,1000611.0,1000614
2,1000620.0,1000613.0,1000616
3,1000625.0,1000614.0,1000617
4,1000626.0,1000615.0,1000618
5,1000627.0,1000616.0,1000620
6,1000628.0,1000618.0,1000625
7,1000633.0,1000619.0,1000626
8,1000637.0,1000620.0,1000628
9,1000638.0,1000621.0,1000631
10,1000641.0,1000623.0,1000632
11,1000643.0,1000628.0,1000633
12,1000645.0,1000629.0,1000636
13,1000650.0,1000635.0,1000637
14,1000651.0,1000637.0,1000638
15,,1000641.0,1000639
16,,1000643.0,1000641
17,,1000648.0,1000642
18,,1000649.0,1000643
19,,1000650.0,1000644
20,,1000652.0,1000645
21,,,1000646
22,,,1000647
23,,,1000648
24,,,1000650
