,도소매업,서비스업,외식업
0,1000168,1000174.0,1000168.0
1,1000170,1000177.0,1000169.0
2,1000171,1000184.0,1000170.0
3,1000173,1000185.0,1000176.0
4,1000174,1000186.0,1000180.0
5,1000176,1000189.0,1000184.0
6,1000178,1000190.0,1000194.0
7,1000179,1000193.0,1000197.0
8,1000180,1000194.0,1000198.0
9,1000181,1000199.0,1000200.0
10,1000182,1000200.0,1000202.0
11,1000184,1000202.0,1000204.0
12,1000186,1000204.0,1000207.0
13,1000187,1000209.0,1000212.0
14,1000188,1000212.0,1000213.0
15,1000189,1000216.0,1000216.0
16,1000191,1000217.0,1000220.0
17,1000197,,
18,1000204,,
19,1000206,,
20,1000207,,
21,1000210,,
22,1000211,,
23,1000212,,
24,1000214,,
25,1000216,,
26,1000217,,
27,1000219,,
28,1000220,,
