,도소매업,서비스업,외식업
0,1000733,1000734.0,1000734.0
1,1000734,1000735.0,1000737.0
2,1000736,1000739.0,1000739.0
3,1000737,1000741.0,1000741.0
4,1000742,1000743.0,1000743.0
5,1000744,1000751.0,1000753.0
6,1000745,1000753.0,1000755.0
7,1000746,1000757.0,1000756.0
8,1000749,1000759.0,1000757.0
9,1000752,1000760.0,1000759.0
10,1000753,1000763.0,1000763.0
11,1000757,1000764.0,1000766.0
12,1000760,1000766.0,1000768.0
13,1000761,1000767.0,1000769.0
14,1000764,1000769.0,1000773.0
15,1000765,1000772.0,1000777.0
16,1000766,1000774.0,
17,1000768,1000775.0,
18,1000770,,
19,1000773,,
20,1000775,,
21,1000776,,
22,1000778,,
