,도소매업,서비스업,외식업
0,1000459,1000463.0,1000460.0
1,1000463,1000465.0,1000461.0
2,1000469,1000467.0,1000462.0
3,1000471,1000470.0,1000467.0
4,1000475,1000471.0,1000471.0
5,1000476,1000472.0,1000473.0
6,1000478,1000474.0,1000477.0
7,1000481,1000478.0,1000481.0
8,1000482,1000479.0,1000486.0
9,1000484,1000480.0,1000487.0
10,1000485,1000481.0,1000488.0
11,1000487,1000484.0,1000491.0
12,1000491,1000494.0,1000492.0
13,1000492,1000501.0,1000495.0
14,1000493,1000502.0,1000501.0
15,1000497,,1000502.0
16,1000499,,1000504.0
17,1000502,,1000505.0
18,1000503,,
19,1000504,,
