,도소매업,서비스업,외식업
0,1000098.0,1000088,1000089.0
1,1000099.0,1000089,1000091.0
2,1000104.0,1000091,1000092.0
3,1000105.0,1000093,1000096.0
4,1000109.0,1000096,1000098.0
5,1000115.0,1000097,1000099.0
6,1000116.0,1000100,1000100.0
7,1000118.0,1000101,1000101.0
8,1000123.0,1000102,1000103.0
9,,1000103,1000105.0
10,,1000104,1000107.0
11,,1000105,1000110.0
12,,1000106,1000111.0
13,,1000113,1000112.0
14,,1000115,1000118.0
15,,1000116,1000120.0
16,,1000117,1000121.0
17,,1000119,1000124.0
18,,1000121,1000125.0
19,,1000123,
20,,1000124,
21,,1000125,
