,도소매업,서비스업,외식업
0,1000266.0,1000261,1000266.0
1,1000269.0,1000262,1000270.0
2,1000273.0,1000263,1000273.0
3,1000278.0,1000264,1000274.0
4,1000283.0,1000268,1000279.0
5,1000285.0,1000269,1000282.0
6,1000288.0,1000270,1000283.0
7,1000294.0,1000271,1000286.0
8,1000295.0,1000272,1000288.0
9,1000298.0,1000274,1000290.0
10,1000300.0,1000275,1000292.0
11,1000301.0,1000276,1000295.0
12,1000305.0,1000278,1000298.0
13,1000306.0,1000281,1000299.0
14,1000310.0,1000283,1000300.0
15,1000311.0,1000285,1000301.0
16,,1000286,1000302.0
17,,1000289,1000303.0
18,,1000291,1000304.0
19,,1000292,1000305.0
20,,1000293,1000306.0
21,,1000294,1000308.0
22,,1000295,1000311.0
23,,1000297,
24,,1000298,
25,,1000299,
26,,1000300,
27,,1000301,
28,,1000302,
29,,1000303,
30,,1000304,
31,,1000305,
32,,1000306,
33,,1000308,
