,도소매업,서비스업,외식업
0,1000507.0,1000513.0,1000507
1,1000508.0,1000519.0,1000512
2,1000511.0,1000521.0,1000519
3,1000513.0,1000523.0,1000523
4,1000514.0,1000525.0,1000524
5,1000518.0,1000526.0,1000527
6,1000520.0,1000528.0,1000532
7,1000525.0,1000529.0,1000534
8,1000527.0,1000530.0,1000539
9,1000532.0,1000532.0,1000541
10,1000533.0,1000533.0,1000543
11,1000534.0,1000535.0,1000544
12,1000537.0,1000536.0,1000547
13,1000538.0,1000541.0,1000549
14,1000539.0,1000544.0,1000552
15,1000540.0,1000546.0,1000554
16,1000543.0,1000549.0,1000556
17,1000549.0,1000550.0,1000559
18,1000552.0,1000553.0,1000560
19,1000553.0,1000556.0,1000562
20,1000554.0,1000559.0,1000563
21,1000556.0,1000561.0,1000564
22,1000557.0,1000562.0,1000566
23,1000558.0,1000567.0,1000567
24,1000563.0,1000570.0,1000568
25,1000568.0,1000575.0,1000570
26,1000571.0,1000578.0,1000571
27,1000572.0,1000582.0,1000573
28,1000576.0,1000590.0,1000579
29,1000578.0,1000592.0,1000580
30,1000580.0,1000596.0,1000582
31,1000591.0,1000597.0,1000584
32,1000595.0,1000598.0,1000585
33,,,1000586
34,,,1000588
35,,,1000592
36,,,1000596
37,,,1000597
38,,,1000599
39,,,1000600
