,도소매업,서비스업,외식업
0,1000684.0,1000683.0,1000684
1,1000685.0,1000687.0,1000685
2,1000688.0,1000690.0,1000687
3,1000693.0,1000692.0,1000689
4,1000695.0,1000693.0,1000690
5,1000696.0,1000695.0,1000691
6,1000698.0,1000699.0,1000693
7,1000701.0,1000700.0,1000695
8,1000702.0,1000702.0,1000696
9,1000703.0,1000705.0,1000698
10,1000705.0,1000707.0,1000700
11,1000707.0,1000708.0,1000703
12,1000708.0,1000710.0,1000706
13,1000709.0,1000711.0,1000707
14,1000714.0,1000712.0,1000708
15,1000717.0,1000714.0,1000710
16,1000718.0,1000719.0,1000711
17,1000720.0,1000721.0,1000712
18,1000725.0,1000724.0,1000717
19,1000726.0,1000725.0,1000718
20,1000731.0,1000726.0,1000721
21,,1000727.0,1000725
22,,1000731.0,1000726
23,,,1000727
24,,,1000730
25,,,1000731
