,도소매업,서비스업,외식업
0,1000052.0,1000054,1000051
1,1000055.0,1000056,1000052
2,1000059.0,1000057,1000053
3,1000060.0,1000059,1000055
4,1000061.0,1000060,1000057
5,1000064.0,1000061,1000058
6,1000065.0,1000063,1000059
7,1000068.0,1000066,1000060
8,1000069.0,1000069,1000061
9,1000071.0,1000071,1000068
10,1000072.0,1000072,1000069
11,1000077.0,1000073,1000070
12,1000080.0,1000076,1000071
13,1000082.0,1000077,1000072
14,1000084.0,1000079,1000073
15,,1000080,1000077
16,,1000082,1000078
17,,1000084,1000080
18,,1000085,1000082
19,,1000086,1000084
