,도소매업,서비스업,외식업
0,1000390,1000389.0,1000389
1,1000391,1000394.0,1000390
2,1000393,1000396.0,1000393
3,1000401,1000399.0,1000395
4,1000402,1000402.0,1000397
5,1000403,1000405.0,1000399
6,1000404,1000407.0,1000400
7,1000405,1000409.0,1000402
8,1000406,1000410.0,1000404
9,1000409,1000412.0,1000406
10,1000410,1000417.0,1000407
11,1000411,1000418.0,1000409
12,1000418,1000421.0,1000410
13,1000419,1000422.0,1000411
14,1000420,1000424.0,1000416
15,1000422,1000425.0,1000419
16,1000423,1000427.0,1000420
17,1000424,1000430.0,1000423
18,1000426,1000432.0,1000424
19,1000429,1000433.0,1000426
20,1000431,,1000427
21,1000432,,1000429
22,1000433,,1000433
